prefix,paramfile,duplication rate,loss rate,p,qratio,r,outgroup,q1,q2,q3,sco,lsd,lsdonly,replicate
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,True, False, True, 48
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,False, True, True, 49
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 1, 0,True, False, True, 50
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,False, True, True, 51
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 1, 0,True, False, True, 52
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,True, False, True, 53
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0.5, 0.5,False, False, False, 54
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,True, False, True, 55
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,False, False, False, 56
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 1, 0,True, False, True, 57
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0.33, 0.33, 0.33,False, False, False, 58
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,True, False, True, 59
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0.5, 0.5,False, False, False, 60
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,False, False, True, 61
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,True, False, True, 62
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 1, 0,True, False, True, 63
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0.5, 0.5,False, True, False, 64
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,True, False, True, 65
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,True, False, True, 66
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,False, True, True, 67
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0.5, 0.25, 0.25,False, False, False, 68
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,True, False, True, 69
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,True, False, True, 70
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 1, 0,True, False, True, 71
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,True, False, True, 72
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,True, False, True, 73
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0.5, 0.5,False, False, False, 74
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 1, 0,True, False, True, 75
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0.33, 0.33, 0.33,False, False, False, 76
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,True, False, True, 77
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,True, False, True, 78
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,False, True, True, 79
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,1, 0, 0,True, False, True, 80
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 1, 0,True, False, True, 81
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0.5, 0.5,False, False, False, 82
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 1, 0,True, False, True, 83
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0, 0, 1,True, False, True, 84
figure1b, config_files/config_figure1b.txt, 5e-07, 0.0,250000.0, 80.0, 100000.0, None,0.5, 0.25, 0.25,False, False, False, 85
