prefix,paramfile,duplication rate,loss rate,p,qratio,r,outgroup,q1,q2,q3,sco,lsd,lsdonly,replicate
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 50
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 51
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 52
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 53
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 54
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 55
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 56
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 57
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 58
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 59
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 60
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 61
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 62
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 63
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 64
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 65
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, False, 66
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 67
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 68
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 69
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 70
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 71
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 72
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 73
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 74
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 75
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, False, 76
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 77
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 78
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 79
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 80
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 81
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 82
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 83
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 84
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0.67, 0.17, 0.17,False, True, False, 85
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 86
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 87
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 88
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 89
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 90
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 91
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 92
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 93
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 94
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, False, 95
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 96
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 97
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 98
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 99
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 100
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 101
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, False, 102
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 103
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, False, 104
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 105
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 106
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 107
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 108
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 109
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 110
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 111
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 112
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 113
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 114
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 115
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 116
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, False, 117
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 118
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 119
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 120
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 121
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 122
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 123
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 124
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 125
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 126
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 127
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 128
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 129
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 130
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 131
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 132
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 133
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 134
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 135
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 136
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 137
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 138
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 139
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, False, 140
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 141
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 142
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 143
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 144
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 145
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 146
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 147
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 148
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 149
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 150
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 151
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 152
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 153
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 154
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 155
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 156
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, False, 157
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 158
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 159
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 160
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 161
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 162
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 163
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 164
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 165
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 166
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 167
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 168
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 169
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 170
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 171
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 172
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 173
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 174
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 175
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 176
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 177
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 178
